brand,model,year,mileage,transmission,location,fuel_type,price,grade
Toyota,INNOVA ZENIX Q MODELISTA HYBRID 2.0,2025,15379,Automatic,Jakarta Raya,Bensin,288000000,A
Landrover,RANGE ROVER AUTOBIOGRAPHY 5.0,2014,50469,Automatic,Jakarta Raya,Bensin,435000000,A
Daihatsu,TERIOS TX 1.5,2010,167242,Automatic,Jakarta Raya,Bensin,81500000,A
Toyota,VELLFIRE G 2.5,2019,59608,Automatic,Jakarta Raya,Bensin,315000000,A
Chery,OMODA 5 Z 1.5,2023,10837,Automatic,Jakarta Raya,Bensin,125000000,A
Toyota,CAMRY HYBRID 2.5,2023,32153,Automatic,Semarang,Bensin,440000000,A
Toyota,RUSH G 1.5,2021,77693,Automatic,Jambi,Bensin,180000000,A
Toyota,CALYA G 1.2,2020,60957,Automatic,Medan,Bensin,100000000,B
Honda,WR-V RS 1.5,2023,73267,Automatic,Jakarta Raya,Bensin,196000000,B
Toyota,INNOVA G 2.4,2022,79219,Manual,Gedangan,Diesel,270000000,B
Daihatsu,SIGRA D 1.0,2024,15311,Manual,Pontianak,Bensin,100000000,B
Suzuki,CARRY CL PICK UP 1.5,2023,80492,Manual,Medan,Bensin,81000000,B
Toyota,RAIZE 1.0,2021,24585,Automatic,Manado,Bensin,149800000,B
Suzuki,ERTIGA GX HYBRID 1.5,2023,37038,Manual,Medan,Bensin,135000000,B
Toyota,AGYA G 1.2,2020,57130,Manual,Manado,Bensin,122000000,B
Toyota,FORTUNER VRZ 2.8,2022,62669,Automatic,Gedangan,Diesel,408000000,B
Daihatsu,SIGRA R 1.2,2024,28605,Manual,Jakarta Raya,Bensin,114000000,B
Honda,HR-V PRESTIGE 1.8,2021,70559,Automatic,Gedangan,Bensin,230000000,B
Toyota,CALYA G 1.2,2021,53640,Manual,Jakarta Raya,Bensin,109000000,B
Toyota,AVANZA G 1.5,2022,58974,Manual,Palembang,Bensin,140000000,B
Suzuki,ERTIGA GX HYBRID 1.5,2024,88472,Manual,Denpasar,Bensin,175000000,B
Daihatsu,AYLA M 1.0,2024,35497,Manual,Denpasar,Bensin,100000000,B
Isuzu,FVZ P 7.8,2023,13121,Manual,Manado,Diesel,560000000,B
Daihatsu,TERIOS X 1.5,2025,26951,Manual,Denpasar,Bensin,200000000,B
Honda,HR-V SE 1.5,2023,29933,Automatic,Gedangan,Bensin,275000000,B
Daihatsu,SIGRA R 1.2,2025,14856,Manual,Medan,Bensin,135000000,B
Toyota,AGYA G 1.2,2022,51190,Manual,Jakarta Raya,Bensin,103000000,B
